,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,jarak_simpanglima,jarak_bandara
0,235000000,110.38487,-6.97892,Semarang Barat,72,79.0,4,3,2,0,0,50144,no,no,no,4.384759125376058,0.6988443482035506
1,235000000,110.46427,-7.06513,Tembalang,115,115.0,1,1,1,0,2,50277,no,no,no,9.465292506239196,13.420383724511643
2,235000000,110.36603,-7.08624,Gunung Pati,120,45.0,2,1,1,1,1,50229,no,no,no,12.344350062543162,11.923145112478005
3,235000000,110.43616,-6.98345,Semarang Timur,72,30.0,2,1,2,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
4,235000000,110.43616,-6.98345,Semarang Timur,72,36.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
5,235000000,110.41846,-6.97821,Semarang Tengah,138,170.0,6,4,1,0,0,50132,no,no,no,1.4117024569326748,4.411302393737038
6,235000000,110.34772,-6.97254,Tugu,60,30.0,2,1,1,0,0,50277,no,no,no,8.535291681700354,3.484404025156575
7,235000000,110.47585,-7.0089,Pedurungan,63,30.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
8,235000000,110.42781,-6.9958,Semarang Selatan,60,30.0,2,1,1,0,1,50241,no,no,no,0.8242231279549267,5.745976862427982
9,235000000,110.43616,-6.98345,Semarang Timur,63,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
10,235000000,110.42865,-7.08514,Banyumanik,60,60.0,2,1,1,0,1,50266,no,no,no,10.521664593359683,12.962342732179462
11,235000000,110.42865,-7.08514,Banyumanik,60,30.0,2,1,1,0,0,50266,no,no,no,10.521664593359683,12.962342732179462
12,235000000,110.42781,-6.9958,Semarang Selatan,60,30.0,2,1,1,0,1,50241,no,no,no,0.8242231279549267,5.745976862427982
13,235000000,110.43616,-6.98345,Semarang Timur,70,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
14,235000000,110.47,-6.96369,Genuk,72,72.0,2,1,1,0,0,50115,no,no,no,5.970068367563139,10.249108144313757
15,235000000,110.47585,-7.0089,Pedurungan,72,72.0,0,0,1,0,0,50193,no,no,no,6.204417785257691,11.243303578072164
16,235000000,110.47585,-7.0089,Pedurungan,60,50.0,2,1,1,0,0,50193,yes,no,no,6.204417785257691,11.243303578072164
17,235000000,110.43616,-6.98345,Semarang Timur,70,30.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
18,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
19,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
20,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,0,50125,no,no,no,1.6410339436634809,6.3835788259335375
21,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
22,235000000,110.43616,-6.98345,Semarang Timur,72,30.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
23,235000000,110.47585,-7.0089,Pedurungan,70,30.0,2,1,1,1,1,50193,no,no,no,6.204417785257691,11.243303578072164
24,235000000,110.38487,-6.97892,Semarang Barat,68,45.0,2,1,1,0,0,50144,no,no,no,4.384759125376058,0.6988443482035506
25,235000000,110.47446306481,-7.0557249478003,Tembalang,60,60.0,2,1,2,0,1,50272,no,no,no,9.218943990447771,13.420383724511643
26,235000000,110.4758025,-7.0090566,Pedurungan,60,30.0,2,1,1,1,1,50193,yes,no,no,6.205276965358859,11.24336449083188
27,235000000,110.47585,-7.0089,Pedurungan,60,30.0,2,1,1,0,0,50193,no,no,no,6.204417785257691,11.243303578072164
28,235000000,110.47585,-7.0089,Pedurungan,60,30.0,2,1,1,0,1,50193,yes,no,no,6.204417785257691,11.243303578072164
29,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
30,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
31,235000000,110.42865,-7.08514,Banyumanik,70,30.0,2,1,1,0,1,50266,no,no,no,10.521664593359683,12.962342732179462
32,235000000,110.30158,-7.00234,Ngaliyan,102,30.0,2,1,1,0,0,50185,no,no,no,13.474957943973742,8.883079355300815
33,235000000,110.43616,-6.98345,Semarang Timur,72,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
34,235000000,110.43616,-6.98345,Semarang Timur,60,60.0,2,1,1,1,0,50125,no,no,no,1.6410339436634809,6.3835788259335375
35,235000000,110.43616,-6.98345,Semarang Timur,72,30.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
36,235000000,110.43616,-6.98345,Semarang Timur,60,30.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
37,235000000,110.43616,-6.98345,Semarang Timur,66,66.0,2,1,1,1,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
38,235000000,110.43616,-6.98345,Semarang Timur,72,36.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
